"","rok","sport","disciplina","medaile","stat","jmena","vysledek"
"1","2010","Alpine Skiing","Downhill","zlato","SUI","Didier DEFAGO","1:54.31"
"2","2010","Alpine Skiing","Downhill","stříbro","NOR","Aksel Lund SVINDAL","1:54.38"
"3","2010","Alpine Skiing","Downhill","bronz","USA","Bode MILLER","1:54.40"
"4","2010","Alpine Skiing","Downhill","zlato","USA","Lindsey VONN","1:44.19"
"5","2010","Alpine Skiing","Downhill","stříbro","USA","Julia MANCUSO","1:44.75"
"6","2010","Alpine Skiing","Downhill","bronz","AUT","Elisabeth GOERGL","1:45.65"
"7","2010","Alpine Skiing","Slalom","zlato","ITA","Giuliano RAZZOLI","1:39.32"
"8","2010","Alpine Skiing","Slalom","stříbro","CRO","Ivica KOSTELIC","1:39.48"
"9","2010","Alpine Skiing","Slalom","bronz","SWE","Andre MYHRER","1:39.76"
"10","2010","Alpine Skiing","Slalom","zlato","GER","Maria RIESCH","1:42.89"
"11","2010","Alpine Skiing","Slalom","stříbro","AUT","Marlies SCHILD","1:43.32"
"12","2010","Alpine Skiing","Slalom","bronz","CZE","Sarka ZAHROBSKA","1:43.90"
"13","2010","Alpine Skiing","Giant Slalom","zlato","SUI","Carlo JANKA","2:37.83"
"14","2010","Alpine Skiing","Giant Slalom","stříbro","NOR","Kjetil JANSRUD","2:38.22"
"15","2010","Alpine Skiing","Giant Slalom","bronz","NOR","Aksel Lund SVINDAL","2:38.44"
"16","2010","Alpine Skiing","Giant Slalom","zlato","GER","Viktoria REBENSBURG","2:27.11"
"17","2010","Alpine Skiing","Giant Slalom","stříbro","SLO","Tina MAZE","2:27.15"
"18","2010","Alpine Skiing","Giant Slalom","bronz","AUT","Elisabeth GOERGL","2:27.25"
"19","2010","Alpine Skiing","Super-G","zlato","NOR","Aksel Lund SVINDAL","1:30.34"
"20","2010","Alpine Skiing","Super-G","stříbro","USA","Bode MILLER","1:30.62"
"21","2010","Alpine Skiing","Super-G","bronz","USA","Andrew WEIBRECHT","1:30.65"
"22","2010","Alpine Skiing","Super-G","zlato","AUT","Andrea FISCHBACHER","1:20.14"
"23","2010","Alpine Skiing","Super-G","stříbro","SLO","Tina MAZE","1:20.63"
"24","2010","Alpine Skiing","Super-G","bronz","USA","Lindsey VONN","1:20.88"
"25","2010","Alpine Skiing","Super Combined","zlato","USA","Bode MILLER","2:44.92"
"26","2010","Alpine Skiing","Super Combined","stříbro","CRO","Ivica KOSTELIC","2:45.25"
"27","2010","Alpine Skiing","Super Combined","bronz","SUI","Silvan ZURBRIGGEN","2:45.32"
"28","2010","Alpine Skiing","Super Combined","zlato","GER","Maria RIESCH","2:09.14"
"29","2010","Alpine Skiing","Super Combined","stříbro","USA","Julia MANCUSO","2:10.08"
"30","2010","Alpine Skiing","Super Combined","bronz","SWE","Anja PAERSON","2:10.19"
"31","2010","Bobsleigh","Two-man","zlato","GER","Kevin KUSKE
Andre LANGE","3:26.65"
"32","2010","Bobsleigh","Two-man","stříbro","GER","Thomas FLORSCHUETZ
Richard ADJEI","3:26.87"
"33","2010","Bobsleigh","Two-man","bronz","RUS","Alexsandr ZUBKOV
Alexey VOEVODA","3:27.51"
"34","2010","Bobsleigh","Two-woman","zlato","CAN","Heather MOYSE
Kaillie HUMPHRIES","3:32.28"
"35","2010","Bobsleigh","Two-woman","stříbro","CAN","Helen UPPERTON
Shelley-Ann BROWN","3:33.13"
"36","2010","Bobsleigh","Two-woman","bronz","USA","Elana MEYERS
Erin PAC","3:33.40"
"37","2010","Bobsleigh","Four-man","zlato","USA","Curtis TOMASEVICZ
Steven HOLCOMB
Steve MESLER
Justin OLSEN","3:24.46"
"38","2010","Bobsleigh","Four-man","stříbro","GER","Martin PUTZE
Andre LANGE
Alexander ROEDIGER
Kevin KUSKE","3:24.84"
"39","2010","Bobsleigh","Four-man","bronz","CAN","Chris LE BIHAN
David BISSETT
Lascelles BROWN
Lyndon RUSH","3:24.85"
"40","2010","Biathlon","7.5km","zlato","SVK","Anastazia KUZMINA","19:55.6"
"41","2010","Biathlon","7.5km","stříbro","GER","Magdalena NEUNER","19:57.1"
"42","2010","Biathlon","7.5km","bronz","FRA","Marie DORIN","20:06.5"
"43","2010","Biathlon","10km","zlato","FRA","Vincent JAY","24:07.8"
"44","2010","Biathlon","10km","stříbro","NOR","Emil Hegle SVENDSEN","24:20.0"
"45","2010","Biathlon","10km","bronz","CRO","Jakov FAK","24:21.8"
"46","2010","Biathlon","15km","zlato","NOR","Tora BERGER","40:52.8"
"47","2010","Biathlon","15km","stříbro","KAZ","Elena KHRUSTALEVA","41:13.5"
"48","2010","Biathlon","15km","bronz","BLR","Darya DOMRACHEVA","41:21.0"
"49","2010","Biathlon","20km","zlato","NOR","Emil Hegle SVENDSEN","48:22.5"
"50","2010","Biathlon","20km","stříbro","BLR","Sergey NOVIKOV
Ole Einar BJOERNDALEN","48:32.0"
"51","2010","Biathlon","20km","bronz","","",""
"52","2010","Biathlon","4x6km Relay","zlato","RUS","Anna BOGALIY-TITOVETS
Svetlana SLEPTSOVA
Olga ZAITSEVA
Olga MEDVEDTSEVA","1:09:36.3"
"53","2010","Biathlon","4x6km Relay","stříbro","FRA","Sandrine BAILLY
Sylvie BECAERT
Marie DORIN
Marie Laure BRUNET","1:10:09.1"
"54","2010","Biathlon","4x6km Relay","bronz","GER","Kati WILHELM
Martina BECK
Simone HAUSWALD
Andrea HENKEL","1:10:13.4"
"55","2010","Biathlon","4x7.5km Relay","zlato","NOR","Tarjei BOE
Emil Hegle SVENDSEN
Halvard HANEVOLD
Ole Einar BJOERNDALEN","1:21:38.1"
"56","2010","Biathlon","4x7.5km Relay","stříbro","AUT","Simon EDER
Dominik LANDERTINGER
Christoph SUMANN
Daniel MESOTITSCH","1:22:16.7"
"57","2010","Biathlon","4x7.5km Relay","bronz","RUS","Anton SHIPULIN
Evgeny USTYUGOV
Ivan TCHEREZOV
Maxim TCHOUDOV","1:22:16.9"
"58","2010","Biathlon","10km Pursuit","zlato","GER","Magdalena NEUNER","30:16.0"
"59","2010","Biathlon","10km Pursuit","stříbro","SVK","Anastazia KUZMINA","30:28.3"
"60","2010","Biathlon","10km Pursuit","bronz","FRA","Marie Laure BRUNET","30:44.3"
"61","2010","Biathlon","12.5km Pursuit","zlato","SWE","Bjorn FERRY","33:38.4"
"62","2010","Biathlon","12.5km Pursuit","stříbro","AUT","Christoph SUMANN","33:54.9"
"63","2010","Biathlon","12.5km Pursuit","bronz","FRA","Vincent JAY","34:06.6"
"64","2010","Biathlon","12,5km Mass Start","zlato","GER","Magdalena NEUNER","35:19.6"
"65","2010","Biathlon","12,5km Mass Start","stříbro","RUS","Olga ZAITSEVA","35:25.1"
